sampler,problem,hv_final,auc_normalizado,trials_al_95pct,minutos_al_95pct
cmaes,zcat1,0.2540266088884752,0.2533072218097244,1,1.355
cmaes,zcat10,0.1127264025706707,0.11150767135103862,3,6.668
cmaes,zcat11,0.2108409724682626,0.21015120969969542,2,1.569
cmaes,zcat12,0.1950563228076279,0.19342076128210295,0,0.487
cmaes,zcat13,0.2494134592840486,0.2385806150924771,8,39.628
cmaes,zcat14,0.1352651896786224,0.13467650089822855,1,1.028
cmaes,zcat15,0.1964260721647474,0.19465313205076173,1,1.681
cmaes,zcat16,0.1371575828798688,0.13258130302526333,3,2.692
cmaes,zcat17,0.8898567714110238,0.8864648859739314,2,3.996
cmaes,zcat18,0.1426705145428105,0.13750890400103505,9,22.127
cmaes,zcat19,0.2633414979380542,0.25324343380216574,21,20.612
cmaes,zcat2,0.6232583728426674,0.6166037602473172,0,0.845
cmaes,zcat20,0.1418277430903627,0.12557023070939197,13,17.669
cmaes,zcat3,0.2486166714108475,0.23534145978258247,9,12.434
cmaes,zcat4,0.2485683381493229,0.2450985319010633,0,0.523
cmaes,zcat5,0.887612911780768,0.8437968762925944,7,7.808
cmaes,zcat6,0.605910421445884,0.6020193206124759,2,24.448
cmaes,zcat7,0.144060313388583,0.13411263218465752,21,28.924
cmaes,zcat8,0.1212189517411399,0.12019697677553942,3,2.586
cmaes,zcat9,0.1227366609239196,0.1172139796199641,3,4.967
gp,zcat1,0.2542716412702543,0.2412056537528176,8,6.221
gp,zcat10,0.1087229633119004,0.10872296331190041,0,1.447
gp,zcat11,0.215116699855918,0.21036502143606242,7,22.746
gp,zcat12,0.2009045671986852,0.1850934591636623,7,7.519
gp,zcat13,0.2341339411035696,0.21681899865369195,6,12.836
gp,zcat14,0.1350411110804554,0.12841195591695898,5,16.51
gp,zcat15,0.2011907191516094,0.19182166137719078,3,5.833
gp,zcat16,0.1342098094163265,0.11800433180050074,9,9.588
gp,zcat17,0.8912339199131964,0.8798836630779884,2,3.383
gp,zcat18,0.1151719666277033,0.10217586185871474,7,7.024
gp,zcat19,0.2634055427751638,0.2502356209906181,8,18.675
gp,zcat2,0.620386033433335,0.5431267895693282,4,6.614
gp,zcat20,0.1426048981498232,0.13445973928227564,16,54.108
gp,zcat3,0.2522691608447243,0.22423687366040537,6,13.25
gp,zcat4,0.2532708258592021,0.2487183492098015,1,1.066
gp,zcat5,0.8777041584525458,0.8663348685090887,1,2.358
gp,zcat6,0.6044369685433634,0.5951405118823871,4,6.301
gp,zcat7,0.1448400025642059,0.14108368770020732,1,1.384
gp,zcat8,0.1235387672511958,0.11684061527176659,21,26.51
gp,zcat9,0.1217953354385091,0.12005217802714488,6,4.906
nsgaii,zcat1,0.2565736418964179,0.2540866851134584,0,2.415
nsgaii,zcat10,0.1128416268316948,0.10707526060692517,6,5.487
nsgaii,zcat11,0.2140316397102058,0.20865298532253293,6,7.138
nsgaii,zcat12,0.1979023739795246,0.1923477514592949,2,2.564
nsgaii,zcat13,0.2496353538925275,0.24463618628833705,6,19.042
nsgaii,zcat14,0.1333418948038543,0.13098441565757862,1,1.04
nsgaii,zcat15,0.1960065550778981,0.18555109969545014,11,11.253
nsgaii,zcat16,0.1306255143302727,0.12498601002280715,6,6.799
nsgaii,zcat17,0.8929647857324471,0.8897366888824779,2,1.663
nsgaii,zcat18,0.1395264969710155,0.1359117839904345,1,2.794
nsgaii,zcat19,0.2599187876751923,0.2586868422579205,0,0.706
nsgaii,zcat2,0.6209274609477814,0.6083261241820125,0,2.614
nsgaii,zcat20,0.1409235629775586,0.1391504945739738,6,4.958
nsgaii,zcat3,0.2523096478681341,0.23152861186054507,23,36.267
nsgaii,zcat4,0.2507604183653344,0.24318653201122595,12,14.259
nsgaii,zcat5,0.8907712252015744,0.8907712252015744,0,7.094
nsgaii,zcat6,0.6045763584520852,0.6005482006161592,2,2.033
nsgaii,zcat7,0.1412677897075532,0.13552910430747453,7,7.235
nsgaii,zcat8,0.1223327290507367,0.1220115820474783,0,0.657
nsgaii,zcat9,0.1230608247385521,0.1175447949128441,9,10.198
nsgaiii,zcat1,0.2530006821060429,0.24807488432673583,12,12.406
nsgaiii,zcat10,0.1122052082246374,0.11090961844171293,5,5.922
nsgaiii,zcat11,0.210936331174666,0.20610807881185592,3,8.929
nsgaiii,zcat12,0.1986013966917582,0.1819940658411226,30,24.326
nsgaiii,zcat13,0.2483692074184091,0.24534676106178796,4,5.415
nsgaiii,zcat14,0.1330157135416082,0.13146877275379393,9,11.218
nsgaiii,zcat15,0.1956406043013524,0.18782546318020094,4,9.513
nsgaiii,zcat16,0.1332349752858001,0.13323497528580008,0,0.912
nsgaiii,zcat17,0.8879644339999843,0.883472288420628,0,1.423
nsgaiii,zcat18,0.142500713459439,0.14097496173713842,7,5.286
nsgaiii,zcat19,0.2634192441388854,0.2632269249410303,0,2.081
nsgaiii,zcat2,0.6211367565846385,0.6178567963925677,1,13.326
nsgaiii,zcat20,0.1350467081441462,0.12850166288077447,3,10.921
nsgaiii,zcat3,0.2504851233515645,0.24844915071320364,3,16.324
nsgaiii,zcat4,0.2597352289970049,0.23965291351194906,48,40.855
nsgaiii,zcat5,0.8935433891188542,0.8900700735389685,0,2.22
nsgaiii,zcat6,0.6037241456048653,0.5919806871652432,1,10.507
nsgaiii,zcat7,0.141640542513358,0.14118588438682042,0,1.433
nsgaiii,zcat8,0.1211403943513722,0.11469770245269992,11,10.8
nsgaiii,zcat9,0.1224281944193496,0.11737639696724445,4,6.37
qmc,zcat1,0.2514185984000878,0.24985866608537907,1,4.006
qmc,zcat10,0.1103802974439708,0.11038029744397079,0,0.547
qmc,zcat11,0.2167178773528979,0.21246819153297863,9,18.137
qmc,zcat12,0.1936142561253695,0.18103559772051636,7,11.606
qmc,zcat13,0.2525310473321809,0.24555532914370146,4,14.875
qmc,zcat14,0.1353928437338782,0.13221974136814874,8,8.855
qmc,zcat15,0.1994626355672441,0.19214704503386,1,2.092
qmc,zcat16,0.1328019749669042,0.1293266287963703,5,8.892
qmc,zcat17,0.8873278888533164,0.8778710255826598,1,4.546
qmc,zcat18,0.1413959209498751,0.13820002024047734,5,16.154
qmc,zcat19,0.2617202987996546,0.2543748366544817,9,22.124
qmc,zcat2,0.6194668032984184,0.5875426832327783,8,10.871
qmc,zcat20,0.1437554317395215,0.1420694843013447,3,10.805
qmc,zcat3,0.252311291329701,0.24174448704862175,26,30.592
qmc,zcat4,0.2479814998381375,0.24002338721473407,2,5.214
qmc,zcat5,0.8825654036660894,0.8798689516778697,2,2.132
qmc,zcat6,0.6054530921639579,0.5979487398462167,1,2.125
qmc,zcat7,0.1430558976007207,0.1383482098518082,8,30.268
qmc,zcat8,0.1223932033461457,0.11826187580913093,23,33.4
qmc,zcat9,0.1199991884168147,0.11385885156547038,13,26.17
