sampler,problem,hv_final,auc_normalizado,trials_al_95pct,minutos_al_95pct
random,zcat1,0.2516043488638316,0.2458823624505527,14,17.4
random,zcat10,0.1120526783323304,0.10994481768413822,2,3.198
random,zcat11,0.2124454179328964,0.20025623148742158,10,8.876
random,zcat12,0.1902320973603519,0.1854059013110865,8,5.016
random,zcat13,0.2495211454595428,0.23874695329739937,1,0.926
random,zcat14,0.1351720292058151,0.13085701005860384,5,6.445
random,zcat15,0.1967712705104882,0.1927370809564697,4,8.657
random,zcat16,0.1352363564462045,0.13035318353176284,6,8.834
random,zcat17,0.8933172600421025,0.8868304915287692,3,3.693
random,zcat18,0.1432448730343434,0.1351739185261072,24,37.989
random,zcat19,0.2609402280066906,0.25032582985514845,11,10.174
random,zcat2,0.6211088081883521,0.6211088081883521,0,0.699
random,zcat20,0.1447248779110443,0.1383579782498642,1,2.323
random,zcat3,0.2518130743032913,0.24539116845021455,5,17.952
random,zcat4,0.252555099366737,0.2482695633649088,2,3.3
random,zcat5,0.8906149285819569,0.8903517558848439,0,0.735
random,zcat6,0.603466026337091,0.5955634919388288,7,9.133
random,zcat7,0.1407723689645059,0.1363406348919581,10,11.62
random,zcat8,0.1223602130557395,0.1143025430959672,6,12.24
random,zcat9,0.1187904208463924,0.11312307625879338,29,47.43
tpe,zcat1,0.2549132082389297,0.25302499986554094,2,2.63
tpe,zcat10,0.113322540211314,0.11217864573654138,2,2.965
tpe,zcat11,0.2151733633161062,0.20439216484230024,7,11.049
tpe,zcat12,0.2012138694040035,0.19117012990760418,12,10.745
tpe,zcat13,0.2480123057302311,0.21300221527408394,41,74.966
tpe,zcat14,0.1364876626365153,0.13061954568996226,10,39.844
tpe,zcat15,0.1992966994231709,0.1938181756788215,10,8.843
tpe,zcat16,0.1336681023274023,0.13146844503005153,3,2.543
tpe,zcat17,0.8915591946443838,0.8832292999647405,0,1.831
tpe,zcat18,0.1438903482147208,0.13928958435826744,3,2.254
tpe,zcat19,0.2606474099493062,0.2544745993234048,13,11.193
tpe,zcat2,0.6238263938892293,0.6069861101675982,6,14.012
tpe,zcat20,0.1442269791229324,0.1345234532541665,7,8.909
tpe,zcat3,0.2581080590816376,0.24944994404148504,16,13.018
tpe,zcat4,0.2553552625909017,0.24965243135811238,0,5.974
tpe,zcat5,0.8931173820852236,0.8772636476287308,3,4.314
tpe,zcat6,0.6070604658130324,0.594644665036304,4,7.577
tpe,zcat7,0.1443838442461937,0.1391775326051202,13,26.933
tpe,zcat8,0.1232238819777902,0.12077780143185181,1,2.715
tpe,zcat9,0.1209866843746105,0.11990052881989471,0,1.428
