sampler,problem,n_trials,best_value,mean_value,std_value,total_duration,mean_trial_duration
cmaes,zcat1,50,0.2540266088884752,0.15312304782649885,0.08982435082417273,4518.993983,90.379879
cmaes,zcat10,50,0.11272640257067075,0.06846024995156431,0.04074576224819382,5614.772873,112.295457
cmaes,zcat11,50,0.21084097246826264,0.11743004635260686,0.0773706946459373,4183.296339,83.665926
cmaes,zcat12,50,0.19505632280762794,0.127362269880124,0.0729568009563507,3571.041948,71.420838
cmaes,zcat13,50,0.2494134592840486,0.1540642888955234,0.09371056312726438,5403.319708,108.066394
cmaes,zcat14,50,0.13526518967862247,0.08235875140460495,0.049108913228332766,4918.164046,98.36328
cmaes,zcat15,50,0.19642607216474747,0.14226010349283777,0.06312822467691113,4274.636075,85.492721
cmaes,zcat16,50,0.1371575828798688,0.07160802348890981,0.04989459685308148,4815.814617,96.316292
cmaes,zcat17,50,0.8898567714110238,0.7443256910196899,0.1919167175613951,4569.72259,91.394451
cmaes,zcat18,50,0.14267051454281052,0.0894582171956413,0.051256167603664325,5654.73503,113.0947
cmaes,zcat19,50,0.2633414979380542,0.17441813630171396,0.09469872742283288,4517.829758,90.356595
cmaes,zcat2,50,0.6232583728426674,0.48841574355750206,0.18653577217696227,3906.527748,78.130554
cmaes,zcat20,50,0.14182774309036275,0.07494019460565583,0.05314016147449724,4676.058934,93.521178
cmaes,zcat3,50,0.24861667141084753,0.16924594981460017,0.08988483960289666,4883.180226,97.663604
cmaes,zcat4,50,0.24856833814932297,0.18089505566574135,0.0716445654977637,5024.526461,100.490529
cmaes,zcat5,50,0.887612911780768,0.702962132227278,0.20074671641732486,4409.473639,88.189472
cmaes,zcat6,50,0.605910421445884,0.5040818120292304,0.16941112237888797,5981.642634,119.632852
cmaes,zcat7,50,0.144060313388583,0.08760110886949218,0.053655341764383954,5989.154739,119.783094
cmaes,zcat8,50,0.12121895174113996,0.08580313165603488,0.04020868151187015,4727.862418,94.557248
cmaes,zcat9,50,0.12273666092391962,0.0709719621091741,0.042006926877702515,5070.405607,101.408112
gp,zcat1,54,0.2542716412702543,0.21683867140481078,0.07858175137841501,3283.199128,65.663982
gp,zcat10,50,0.10872296331190044,0.08699239547809132,0.024353347992230396,13902.377625,278.047552
gp,zcat11,50,0.215116699855918,0.1706393568777883,0.06271318757258469,14620.402437,292.408048
gp,zcat12,50,0.20090456719868524,0.13693980969026354,0.07376244595795253,4692.270485,93.845409
gp,zcat13,50,0.23413394110356964,0.077170987011868,0.07428902200781791,10950.297297,219.005945
gp,zcat14,50,0.13504111108045544,0.10067646718431085,0.03870484216536468,14761.16389,295.223277
gp,zcat15,50,0.20119071915160947,0.1621310231222756,0.050130998981846746,2599.069798,51.981395
gp,zcat16,50,0.13420980941632657,0.06420199498957228,0.032930379568234,18238.056723,364.761134
gp,zcat17,50,0.8912339199131964,0.7700677233869804,0.21432407205287562,10323.977506,206.47955
gp,zcat18,50,0.11517196662770335,0.01195897812556645,0.032096531093055845,13617.888714,272.357774
gp,zcat19,50,0.26340554277516387,0.16026548040012562,0.0834334975542628,13187.602446,263.752048
gp,zcat2,50,0.620386033433335,0.0938098978183875,0.1714376195965862,18585.856372,371.717127
gp,zcat20,50,0.1426048981498232,0.11154007839267802,0.043414255343581246,18490.297113,369.805942
gp,zcat3,50,0.25226916084472434,0.06534282654943227,0.07792737731627396,17714.329816,354.286596
gp,zcat4,50,0.2532708258592021,0.21633840462032775,0.049839993485077866,1547.14077,30.942815
gp,zcat5,50,0.8777041584525458,0.7940838554919002,0.17521097771416827,14995.88922,299.917784
gp,zcat6,50,0.6044369685433634,0.5528453430320203,0.13070397858861477,6973.633418,139.472668
gp,zcat7,50,0.14484000256420596,0.10856923936597808,0.039534722969485264,17858.6953,357.173906
gp,zcat8,50,0.12353876725119582,0.10218996751010855,0.02989561503268002,5981.944507,119.63889
gp,zcat9,50,0.12179533543850918,0.10549381827276232,0.027412101293619134,3680.089962,73.601799
nsgaii,zcat1,50,0.2565736418964179,0.15292784565959233,0.08933761939489014,6540.23718,130.804743
nsgaii,zcat10,50,0.11284162683169484,0.0657443122657808,0.04266892499152031,5263.689749,105.273794
nsgaii,zcat11,50,0.21403163971020586,0.11998866833537754,0.07957505964562323,6792.705122,135.854102
nsgaii,zcat12,50,0.1979023739795246,0.11961769227369173,0.07568880881349532,4849.696259,96.993925
nsgaii,zcat13,50,0.24963535389252753,0.13699866266718774,0.0962726326801236,5644.94057,112.898811
nsgaii,zcat14,50,0.13334189480385436,0.08052862220048347,0.052949793582398846,6339.186098,126.783721
nsgaii,zcat15,50,0.19600655507789813,0.09303581002649888,0.07321248120592733,3768.072536,75.36145
nsgaii,zcat16,50,0.13062551433027278,0.07034963566282684,0.051708396265087865,5127.890373,102.557807
nsgaii,zcat17,50,0.8929647857324471,0.7019461129224233,0.23135832440880913,5072.516581,101.450331
nsgaii,zcat18,50,0.13952649697101557,0.06642479162225384,0.050110601096741196,5901.125349,118.022506
nsgaii,zcat19,50,0.25991878767519233,0.15909390307180202,0.09349966836754384,5354.36396,107.087279
nsgaii,zcat2,50,0.6209274609477814,0.40217782037906014,0.23799208212163872,5842.649153,116.852983
nsgaii,zcat20,50,0.14092356297755868,0.0797788628938017,0.04657606349260026,4137.149709,82.742994
nsgaii,zcat3,50,0.2523096478681341,0.1257598885757598,0.0955774360494584,4612.724462,92.254489
nsgaii,zcat4,50,0.2507604183653344,0.15294158586377102,0.0927072751533336,6843.750196,136.875003
nsgaii,zcat5,50,0.8907712252015744,0.714326048322162,0.21986280921310672,8661.874103,173.237482
nsgaii,zcat6,50,0.6045763584520852,0.39249806908164564,0.2557698587400114,3817.805642,76.356112
nsgaii,zcat7,50,0.14126778970755327,0.07910643872430792,0.045083167832513746,4341.886378,86.837727
nsgaii,zcat8,50,0.12233272905073676,0.07047187675517338,0.044974936446247976,4859.008315,97.180166
nsgaii,zcat9,50,0.12306082473855211,0.07182312113055181,0.04556748963104859,3290.804331,65.816086
nsgaiii,zcat1,50,0.25300068210604293,0.1779986235142744,0.07501263871685827,4412.85021,88.257004
nsgaiii,zcat10,50,0.11220520822463749,0.05457411492725208,0.04178326295817447,4367.457928,87.349158
nsgaiii,zcat11,50,0.210936331174666,0.11712617770500522,0.07864553482081718,5267.459063,105.349181
nsgaiii,zcat12,50,0.19860139669175825,0.10573504319314996,0.07393128996060987,5182.391716,103.647834
nsgaiii,zcat13,50,0.24836920741840915,0.14758023295524436,0.08584155876784572,4340.530099,86.810601
nsgaiii,zcat14,50,0.13301571354160827,0.08950629084032709,0.040907453310690074,5259.258442,105.185168
nsgaiii,zcat15,50,0.1956406043013524,0.09488209853310718,0.07274509791173743,3662.69824,73.253964
nsgaiii,zcat16,50,0.13323497528580017,0.07214808789335254,0.04983618720159335,4411.041632,88.220832
nsgaiii,zcat17,50,0.8879644339999843,0.6933991652827145,0.22690981442476432,5320.066035,106.40132
nsgaiii,zcat18,50,0.14250071345943902,0.07536085446522098,0.052473978539854055,4142.098349,82.841966
nsgaiii,zcat19,50,0.26341924413888546,0.16311458846443802,0.09592434649456831,3693.6929,73.873858
nsgaiii,zcat2,50,0.6211367565846385,0.39004088084840427,0.24725403180882993,5707.111178,114.142223
nsgaiii,zcat20,50,0.13504670814414624,0.07054617150961744,0.04988017470833704,5048.637565,100.972751
nsgaiii,zcat3,50,0.2504851233515645,0.16416346795019238,0.08587640349893559,4437.562885,88.751257
nsgaiii,zcat4,50,0.25973522899700496,0.15183351223349364,0.0835804431308613,5167.634274,103.352685
nsgaiii,zcat5,50,0.8935433891188542,0.7548580564249043,0.16373319704868455,5256.258308,105.125166
nsgaiii,zcat6,50,0.6037241456048653,0.39675464584783543,0.2410748218936273,3977.250621,79.545012
nsgaiii,zcat7,50,0.141640542513358,0.07961084945011,0.056966157684784566,5035.716973,100.714339
nsgaiii,zcat8,50,0.1211403943513722,0.061918927500015056,0.04655504962641104,6045.151378,120.903027
nsgaiii,zcat9,50,0.12242819441934964,0.07366888217017188,0.0441065695897683,6527.493273,130.549865
qmc,zcat1,50,0.25141859840008784,0.14690626337092572,0.09489345499184863,5518.169374,110.363387
qmc,zcat10,50,0.11038029744397082,0.038420586635190546,0.041345639062621634,3394.392457,67.887849
qmc,zcat11,50,0.21671787735289794,0.1181514971754578,0.07997413331732625,5423.678673,108.473573
qmc,zcat12,50,0.19361425612536953,0.08978084216029536,0.06969271403474163,4776.228082,95.524561
qmc,zcat13,50,0.2525310473321809,0.12326257055858618,0.09266838873545519,4515.945457,90.318909
qmc,zcat14,50,0.13539284373387825,0.07494094950953756,0.050610390232904534,4127.377435,82.547548
qmc,zcat15,50,0.19946263556724417,0.09525941094981302,0.07516690851451709,6333.878533,126.67757
qmc,zcat16,50,0.13280197496690424,0.06225818549940458,0.04758708410347687,4175.870673,83.517413
qmc,zcat17,50,0.8873278888533164,0.729129764952393,0.20345372271141318,5230.833641,104.616672
qmc,zcat18,50,0.14139592094987513,0.07538929055499978,0.054546780288356904,7912.913456,158.258269
qmc,zcat19,50,0.2617202987996546,0.14394894473362568,0.10042802883882643,7268.590098,145.371801
qmc,zcat2,50,0.6194668032984184,0.3481210742522796,0.23951143068361833,5554.946867,111.098937
qmc,zcat20,50,0.14375543173952157,0.07580043026994866,0.05426292206017366,4648.009739,92.960194
qmc,zcat3,50,0.25231129132970104,0.10461706363222975,0.0975345056311503,6740.728798,134.814575
qmc,zcat4,50,0.24798149983813755,0.10929220276701099,0.08937611582227815,4946.536592,98.930731
qmc,zcat5,50,0.8825654036660894,0.7114996761213946,0.18448666395952984,5803.635635,116.072712
qmc,zcat6,50,0.6054530921639579,0.48499764314730365,0.18953067686922573,6698.863071,133.977261
qmc,zcat7,50,0.1430558976007207,0.07558463419935385,0.05459833911613003,5292.021362,105.840427
qmc,zcat8,50,0.12239320334614577,0.0590573322928589,0.048641699434560016,7254.529691,145.090593
qmc,zcat9,50,0.11999918841681474,0.06380415335050955,0.04676427286007581,3687.096124,73.741922
random,zcat1,50,0.25160434886383165,0.15641474129220054,0.09128626568099754,5202.439409,104.048788
random,zcat10,50,0.11205267833233046,0.057521570372800326,0.0427615942054925,4458.05822,89.161164
random,zcat11,50,0.21244541793289642,0.11327390376102332,0.0720585086071514,5365.445474,107.308909
random,zcat12,50,0.19023209736035193,0.11188441811986097,0.06858260987642456,4965.666596,99.313331
random,zcat13,50,0.24952114545954288,0.14400547170909328,0.0913928013240526,5175.588983,103.511779
random,zcat14,50,0.1351720292058151,0.07472752248080233,0.04999003393499996,5977.469978,119.549399
random,zcat15,50,0.19677127051048823,0.1093820109863218,0.0779224673611323,4577.113572,91.542271
random,zcat16,50,0.1352363564462045,0.08262884328717995,0.04868863420506245,4717.96677,94.359335
random,zcat17,50,0.8933172600421025,0.6989200200536594,0.25190140890185564,4785.466043,95.70932
random,zcat18,50,0.14324487303434344,0.07296176244343154,0.05305581175749889,5691.825457,113.836509
random,zcat19,50,0.26094022800669064,0.13480441943674992,0.10559029042055101,6450.253032,129.00506
random,zcat2,50,0.6211088081883521,0.38162732541940514,0.2547168666297085,5103.650626,102.073012
